Team,Venue
Arsenal FC,Emirates Stadium
AFC Bournemouth,Vitality Stadium
Brighton & Hove Albion FC,Amex Stadium
Burnley FC,Turf Moor
Chelsea FC,Stamford Bridge
Crystal Palace FC,Selhurst Park
Everton FC,Goodison Park
Huddersfield Town AFC,John Smith's Stadium
Leicester City FC,King Power Stadium
Liverpool FC,Anfield
Manchester City FC,Etihad Stadium
Manchester United FC,Old Trafford
Newcastle United FC,St. James' Park
Southampton FC,St Mary's Stadium
Stoke City FC,bet365 Stadium
Swansea City AFC,Liberty Stadium
Tottenham Hotspur FC,Wembley Stadium[
Watford FC,Vicarage Road
West Bromwich Albion FC,The Hawthorns
West Ham United FC,London Stadium